trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
614,False,"{'a': 0.009, 'e': 0.003981884815706365}",20,6,24.40946692736655,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
615,False,"{'a': 0.009, 'e': 0.003946208635987632}",20,14,13.961723383534514,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
616,False,"{'a': 0.009, 'e': 0.003910852101326006}",20,6,20.102679204799582,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
617,False,"{'a': 0.009, 'e': 0.003875812347822852}",20,8,17.462158306967517,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
618,False,"{'a': 0.009, 'e': 0.003841086537238981}",25,3,33.431956661273624,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
619,False,"{'a': 0.009, 'e': 0.0038066718567647422}",30,23,10.511508939846587,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
620,False,"{'a': 0.009, 'e': 0.0037725655187922087}",30,20,18.6816077797665,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
621,False,"{'a': 0.009, 'e': 0.0037387647606893495}",20,14,11.582322255104057,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
622,False,"{'a': 0.009, 'e': 0.0037052668445762813}",35,21,28.419180400830346,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
623,False,"{'a': 0.009, 'e': 0.0036720690571034873}",25,19,13.660883474840729,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
624,False,"{'a': 0.009, 'e': 0.0036391687092320246}",25,7,28.991240793569617,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
625,False,"{'a': 0.009, 'e': 0.0036065631360157305}",20,12,15.858824388729008,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
626,False,"{'a': 0.009, 'e': 0.0035742496963853507}",35,20,26.207236965689262,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
627,False,"{'a': 0.009, 'e': 0.0035422257729346013}",20,8,19.15812705201422,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
628,False,"{'a': 0.009, 'e': 0.0035104887717081795}",20,0,34.09265500333867,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
629,False,"{'a': 0.009, 'e': 0.003479036121991628}",20,10,16.81287669895419,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
630,False,"{'a': 0.009, 'e': 0.0034478652761031265}",20,12,16.024091625940855,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
631,False,"{'a': 0.009, 'e': 0.0034169737091871173}",25,19,12.731237119518116,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
632,False,"{'a': 0.009, 'e': 0.003386358919009785}",25,15,17.87440936866915,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
633,False,"{'a': 0.009, 'e': 0.003356018425756392}",20,6,14.683172204736652,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
634,False,"{'a': 0.009, 'e': 0.0033259497718303903}",25,17,15.549697574327858,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
635,False,"{'a': 0.009, 'e': 0.003296150521654375}",20,7,22.739075396845074,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
636,False,"{'a': 0.009, 'e': 0.0032666182614727915}",20,10,17.869300192451504,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
637,False,"{'a': 0.009, 'e': 0.003237350599156413}",25,6,28.193919167337896,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
638,False,"{'a': 0.009, 'e': 0.0032083451640085923}",20,0,27.62655161777907,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
639,False,"{'a': 0.009, 'e': 0.0031795996065732265}",20,0,23.52075242238908,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
640,False,"{'a': 0.009, 'e': 0.0031511115984444414}",25,16,15.446000793207984,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
641,False,"{'a': 0.009, 'e': 0.0031228788320780076}",25,2,36.164837592367455,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
642,False,"{'a': 0.009, 'e': 0.0030948990206044083}",20,12,16.66441563458295,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
643,False,"{'a': 0.009, 'e': 0.0030671698976436185}",20,16,5.443104281990708,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
644,False,"{'a': 0.009, 'e': 0.00303968921712152}",20,2,19.986622822977054,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
645,False,"{'a': 0.009, 'e': 0.0030124547530879604}",25,20,8.758066896945719,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
646,False,"{'a': 0.009, 'e': 0.0029854642995364674}",20,15,9.011046462614571,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
647,False,"{'a': 0.009, 'e': 0.0029587156702255415}",25,11,22.077294334799138,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
648,False,"{'a': 0.009, 'e': 0.002932206698501586}",20,4,19.939577262348603,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
649,False,"{'a': 0.009, 'e': 0.0029059352371234}",30,22,12.137393793795702,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
650,False,"{'a': 0.009, 'e': 0.002879899158088243}",20,14,9.959175184693684,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
651,False,"{'a': 0.009, 'e': 0.00285409635245948}",20,12,16.056093129573384,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
652,False,"{'a': 0.009, 'e': 0.0028285247301957504}",20,16,9.431835965958948,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
653,False,"{'a': 0.009, 'e': 0.002803182219981664}",30,15,26.645975587302665,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
654,False,"{'a': 0.009, 'e': 0.0027780667690600427}",25,16,17.25936798006651,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
655,False,"{'a': 0.009, 'e': 0.002753176343065625}",25,15,17.450333636079908,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
656,False,"{'a': 0.009, 'e': 0.0027285089258602987}",20,12,14.179499222655016,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
657,False,"{'a': 0.009, 'e': 0.002704062519369786}",25,20,8.058097698964842,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
658,False,"{'a': 0.009, 'e': 0.00267983514342179}",20,9,11.351860511135504,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
659,False,"{'a': 0.009, 'e': 0.002655824835585617}",25,14,22.826609367521872,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
660,False,"{'a': 0.009, 'e': 0.0026320296510132005}",25,17,16.056656012802275,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
661,False,"{'a': 0.009, 'e': 0.0026084476622815823}",25,11,26.14661565187287,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
662,False,"{'a': 0.009, 'e': 0.0025850769592367833}",25,15,16.59413823413105,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
663,False,"{'a': 0.009, 'e': 0.0025619156488390755}",25,14,22.78866535183066,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
664,False,"{'a': 0.009, 'e': 0.0025389618550096544}",25,2,34.24840081020044,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
665,False,"{'a': 0.009, 'e': 0.0025162137184786726}",20,12,13.967614591861775,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
666,False,"{'a': 0.009, 'e': 0.002493669396634629}",30,10,33.336227318245314,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
667,False,"{'a': 0.009, 'e': 0.002471327063375132}",25,0,39.064877828087546,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
668,False,"{'a': 0.009, 'e': 0.0024491849089589685}",20,6,25.80568641167956,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
669,False,"{'a': 0.009, 'e': 0.002427241139859526}",20,12,14.671455012049059,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
670,False,"{'a': 0.009, 'e': 0.0024054939786195117}",25,20,10.952309259900689,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
671,False,"{'a': 0.009, 'e': 0.002383941663706971}",25,15,21.01601503018732,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
672,False,"{'a': 0.009, 'e': 0.002362582449372616}",20,13,10.30858513612182,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
673,False,"{'a': 0.009, 'e': 0.0023414146055084043}",25,0,36.81811881473509,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
674,False,"{'a': 0.009, 'e': 0.00232043641750741}",25,12,26.48196700557006,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
675,False,"{'a': 0.009, 'e': 0.002299646186124938}",35,17,33.247855084817516,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
676,False,"{'a': 0.009, 'e': 0.002279042227340875}",35,12,33.759557208294325,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
677,False,"{'a': 0.009, 'e': 0.0022586228722232967}",20,10,18.348286146814207,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
678,False,"{'a': 0.009, 'e': 0.0022383864667932757}",20,6,26.81697358143417,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
679,False,"{'a': 0.009, 'e': 0.002218331371890904}",20,5,26.119365455708756,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
680,False,"{'a': 0.009, 'e': 0.002198455963042533}",20,0,26.00903241328199,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
681,False,"{'a': 0.009, 'e': 0.002178758630329176}",30,0,45.9533201910348,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
682,False,"{'a': 0.009, 'e': 0.002159237778256115}",20,12,17.199606842711006,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
683,False,"{'a': 0.009, 'e': 0.002139891825623661}",25,5,33.214300151931496,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
684,False,"{'a': 0.009, 'e': 0.00212071920539907}",20,2,29.338261840813846,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
685,False,"{'a': 0.009, 'e': 0.0021017183645896244}",20,3,26.370410386873882,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
686,False,"{'a': 0.009, 'e': 0.002082887764116826}",25,20,8.560719528820913,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
687,False,"{'a': 0.009, 'e': 0.0020642258786917433}",25,15,19.435260094241226,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
